labels,parents,value
Semestre 1,,219245
Ancienne,Semestre 1,1662
Cadastre,Semestre 1,2679
Écrou,Semestre 1,194
Enregistrement,Semestre 1,4130
État-Civil,Semestre 1,152859
Figurés,Semestre 1,511
Hypothèques,Semestre 1,5340
Recensement,Semestre 1,32680
Matricules,Semestre 1,2342
Notaires,Semestre 1,16848
FRAD013_MARSEILLE,État-Civil,81840
FRAD013_REC_6 M_1931,Recensement,13048
FRAD013_AIX-EN-PROVENCE,État-Civil,7602
FRAD013_cadastre,Cadastre,2679
FRAD013_ARLES,État-Civil,7066
FRAD013_AUBAGNE,État-Civil,4957
FRAD013_REC_6 M_1911,Recensement,3991
FRAD013_ROQUEVAIRE,État-Civil,2203
FRAD013_REC_176 W_1946,Recensement,1905
FRAD013_REC_6 M_1906,Recensement,2497
FRAD013_HYPOTHEQUES,Hypothèques,5340
FRAD013_CHATEAURENARD,État-Civil,2151
FRAD013_MARTIGUES,État-Civil,3362
FRAD013_TARASCON,État-Civil,3119
FRAD013_SAINT-REMY-DE-PROVENCE,État-Civil,1866
FRAD013_REC_6 M_1901,Recensement,852
FRAD013_SALON-DE-PROVENCE,État-Civil,1935
FRAD013_JOUQUES,État-Civil,1507
FRAD013_EGUILLES,État-Civil,1349
FRAD013_diffusion_B,Ancienne,1662
FRAD013_MATRICULE_1915,Matricules,234
FRAD013_MATRICULE_1918,Matricules,111
FRAD013_MALLEMORT,État-Civil,1584
FRAD013_TRETS,État-Civil,962
FRAD013_BARBENTANE,État-Civil,993
FRAD013_ROGNES,État-Civil,827
FRAD013_CASSIS,État-Civil,1841
FRAD013_ALLAUCH,État-Civil,1428
FRAD013_ISTRES,État-Civil,939
FRAD013_REC_6 M_1872,Recensement,1728
FRAD013_REC_6 M_1896,Recensement,1406
FRAD013_EYGUIERES,État-Civil,750
FRAD013_ROGNONAS,État-Civil,905
FRAD013_ENREGISTREMENT_Marseille,Enregistrement,1994
FRAD013_LA_CIOTAT,État-Civil,1126
FRAD013_AURIOL,État-Civil,1095
FRAD013_MATRICULE_1917,Matricules,90
FRAD013_SAINT-ANDIOL,État-Civil,392
FRAD013_1763802,Notaires,992
FRAD013_MATRICULE_1907,Matricules,65
FRAD013_REC_6 M_1891,Recensement,963
FRAD013_MATRICULE_1920,Matricules,94
FRAD013_CEYRESTE,État-Civil,631
FRAD013_REC_6 M_1886,Recensement,840
FRAD013_MATRICULE_1912,Matricules,100
FRAD013_VENTABREN,État-Civil,671
FRAD013_MATRICULE_1906,Matricules,49
FRAD013_MATRICULE_1911,Matricules,63
FRAD013_FUVEAU,État-Civil,295
FRAD013_MATRICULE_1913,Matricules,55
FRAD013_ALLEINS,État-Civil,496
FRAD013_LA_FARE-LES-OLIVIERS,État-Civil,458
FRAD013_CHATEAUNEUF-LES-MARTIGUES,État-Civil,281
FRAD013_GEMENOS,État-Civil,813
FRAD013_LES_PENNES-MIRABEAU,État-Civil,986
FRAD013_MATRICULE_1899,Matricules,35
FRAD013_MATRICULE_1908,Matricules,36
FRAD013_MATRICULE_1921,Matricules,51
FRAD013_MATRICULE_1916,Matricules,54
FRAD013_REC_6 M_1876,Recensement,974
FRAD013_ENREGISTREMENT_Aix-en-Provence,Enregistrement,891
FRAD013_REC_6 M_1841,Recensement,868
FRAD013_REC_6 M_1881,Recensement,383
FRAD013_BOUC-BEL-AIR,État-Civil,362
FRAD013_EYRAGUES,État-Civil,1173
FRAD013_MAILLANE,État-Civil,474
FRAD013_MATRICULE_1903,Matricules,45
FRAD013_MATRICULE_1905,Matricules,39
FRAD013_1913433,Notaires,1343
FRAD013_REC_6 M_1861,Recensement,751
FRAD013_BOULBON,État-Civil,397
FRAD013_MATRICULE_1900,Matricules,37
FRAD013_MATRICULE_1901,Matricules,41
FRAD013_MATRICULE_1910,Matricules,33
FRAD013_REC_6 M_1856,Recensement,369
FRAD013_SAINT-CANNAT,État-Civil,319
FRAD013_SAINT-CHAMAS,État-Civil,649
FRAD013_SENAS,État-Civil,528
FRAD013_BERRE-L_ETANG,État-Civil,247
FRAD013_GRANS,État-Civil,449
FRAD013_MATRICULE_1892,Matricules,33
FRAD013_MATRICULE_1895,Matricules,28
FRAD013_MATRICULE_1909,Matricules,32
FRAD013_MATRICULE_1914,Matricules,67
FRAD013_NOVES,État-Civil,356
FRAD013_PEYNIER,État-Civil,510
FRAD013_PUYLOUBIER,État-Civil,709
FRAD013_SAINTES-MARIES-DE-LA-MER,État-Civil,269
FRAD013_EYGALIERES,État-Civil,388
FRAD013_LANCON-PROVENCE,État-Civil,214
FRAD013_MATRICULE_1893,Matricules,27
FRAD013_MATRICULE_1897,Matricules,33
FRAD013_MATRICULE_1902,Matricules,39
FRAD013_SEPTEMES-LES-VALLONS,État-Civil,458
FRAD013_LAMBESC,État-Civil,413
FRAD013_MATRICULE_1919,Matricules,40
FRAD013_1792792,Notaires,524
FRAD013_CABRIES,État-Civil,277
FRAD013_FONTVIEILLE,État-Civil,360
